stockCode,stockNameEn,stockNameZh
00698,TONGDA GROUP,通達集團
00699,CAR INC,神州租車
00700,TENCENT,騰訊控股
00701,CNT GROUP,CNT GROUP
00702,SINO OIL & GAS,中國油氣控股
00703,FUTURE BRIGHT,FUTURE BRIGHT
00704,HUSCOKE RES,和嘉資源
00705,DINGHE MINING,鼎和礦業
00706,BEAUTI C HOLD,美麗中國控股
00707,CO-PROSPERITY,協盛協豐
00708,EVERG HEALTH,恒大健康
00709,GIORDANO INT'L,佐丹奴國際
00710,VARITRONIX INTL,精電
00711,ASIA ALLIED INF,亞洲聯合基建控股
00712,COMTEC SOLAR,卡姆丹克太陽能
00713,WORLD HOUSEWARE,世界（集團）
00715,CHINA OCEANWIDE,中泛控股
00716,SINGAMAS CONT,勝獅貨櫃
00717,EMPEROR CAPITAL,英皇證券
00718,TAI UNITED HOLD,太和控股
00719,SHANDONG XINHUA,山東新華製藥股份
00720,AUTO ITALIA,意達利控股
00722,UMP,聯合醫務
00723,SUSTAIN FOREST,永保林業
00724,RUIXIN INT'L,瑞鑫國際集團
00725,PERENNIAL INT'L,恆都集團
00726,CM DRAWIN TECH,中民築友科技
00727,CROWNICORP,皇冠環球集團
00728,CHINA TELECOM,中國電信
00729,FDG EVEHICLES,五龍電動車
00730,SHOUGANG GRAND,SHOUGANG GRAND
00731,SAMSON PAPER,森信紙業集團
00732,TRULY INT'L,信利國際
00733,HOPEFLUENT,合富輝煌
00735,C P NEW ENERGY,中國電力新能源
00736,CHINA PPT INV,中國置業投資
00737,HOPEWELL INFR,合和公路基建
00738,LE SAUNDA,萊爾斯丹
00743,ASIA CEMENT CH,亞洲水泥（中國）
00745,CN CULTURE GP,中國國家文化產業
00746,L & M CHEMICAL,理文化工
00747,SHENYANG PUBLIC,瀋陽公用發展股份
00750,SINGYES SOLAR,興業太陽能
00751,SKYWORTHDIGITAL,創維數碼
00752,PICO FAR EAST,PICO FAR EAST
00753,AIR CHINA,中國國航
00754,HOPSON DEV HOLD,合生創展集團
00755,SHANGHAI ZENDAI,上海証大
00756,TIANYI SUMMI,天溢森美
00757,SOLARGIGA,陽光能源
00758,JUNEFIELD GROUP,JUNEFIELD GROUP
00759,CEC INT'L HOLD,CEC INT'L HOLD
00760,TALENT PPT GP,新天地產集團
00761,BEL GLOBAL RES,百營環球資源
00762,CHINA UNICOM,中國聯通
00763,ZTE,中興通訊
00764,ETERNITY INV,永恒策略
00765,PERFECTECH INTL,PERFECTECH INTL
00766,SINO PROSPER GP,中盈集團控股
00767,PACIFIC PLYWOOD,PACIFIC PLYWOOD
00769,CHINA RAREEARTH,中國稀土
00771,AUTOMATED SYS,自動系統
00775,CKLIFE SCIENCES,長江生命科技
00776,IMPERIUM GP,帝國集團環球控股
00777,NETDRAGON,網龍
00787,GLOBAL BRANDS,利標品牌
